,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude,health_score,health_rank,food_rank,fitness_rank,greenspace_rank,happiness_score,hap_entertainment,income_employment,community_environment
0,"San Diego, CA",58.27,4,70,11,34,32.715738,-117.1610838,67.62,19,2,2,4,66.01,4,20,25
1,"Las Vegas, NV",58.14,10,38,21,18,36.1699412,-115.1398296,52.93,94,10,5,31,47.02,82,80,80
2,"Orlando, FL",58.13,2,50,54,28,28.5383355,-81.3792365,54.17,25,11,29,32,58.04,47,13,59
3,"Honolulu, HI",56.71,3,85,4,43,21.3069444,-157.8583333,61.76,25,5,33,3,64.21,30,19,9
4,"Tampa, FL",53.73,14,36,74,13,27.950575,-82.4571776,54.01,46,15,15,22,56.02,67,21,32
5,"Atlanta, GA",52.9,13,64,37,41,33.7489954,-84.3879824,57.71,43,15,3,17,58.46,35,48,55
6,"Cincinnati, OH",52.2,18,9,19,58,39.1031182,-84.5120196,48.61,75,27,36,29,43.5,91,80,90
7,"Scottsdale, AZ",51.96,29,52,24,3,33.4941704,-111.9260519,61.37,7,24,1,12,68.24,25,7,1
8,"Portland, OR",51.31,9,53,25,78,45.5051064,-122.6750261,65.73,27,3,10,2,57.72,51,15,56
9,"Los Angeles, CA",50.93,11,92,55,7,34.0522342,-118.2436849,60.3,39,2,7,23,58.12,24,57,81
10,"San Francisco, CA",50.25,1,99,6,49,37.7749295,-122.4194155,73.29,14,1,6,1,67.53,2,1,69
11,"Denver, CO",49.37,16,60,13,64,39.7392358,-104.990251,61.93,35,9,1,10,62.41,12,35,64
12,"St. Louis, MO",49.16,19,4,16,94,38.6270025,-90.19940419999999,50.58,73,26,24,23,42.85,90,93,88
13,"New Orleans, LA",49.14,20,66,8,53,29.95106579999999,-90.0715323,44.31,91,66,66,13,47.57,91,70,42
14,"Minneapolis, MN",48.96,22,40,2,77,44.977753,-93.2650108,60.85,2,13,24,6,64.82,3,14,76
15,"Chicago, IL",48.74,5,94,5,92,41.8781136,-87.6297982,60.05,42,7,11,6,55.2,33,96,63
16,"Seattle, WA",48.54,8,89,9,70,47.6062095,-122.3320708,69.94,14,3,3,1,61.11,20,1,94
17,"Sacramento, CA",48.49,25,72,42,9,38.5815719,-121.4943996,52.99,54,10,52,15,53.96,63,32,65
18,"Boise, ID",48.42,42,6,57,26,43.6150186,-116.2023137,53.37,34,40,29,8,61.94,38,10,27
19,"Tucson, AZ",47.46,34,27,82,16,32.2226066,-110.9747108,46.13,70,30,52,39,53.19,55,63,74
20,"El Paso, TX",47.24,87,1,28,25,31.7618778,-106.4850217,39.77,88,69,72,66,61.73,32,54,22
21,"Philadelphia, PA",47.08,17,81,34,52,39.9525839,-75.1652215,54.58,85,8,23,13,44.27,93,91,64
22,"Lincoln, NE",46.95,50,33,18,46,40.813616,-96.7025955,55.36,6,37,20,15,63.43,18,47,34
23,"New York, NY",46.84,6,100,1,55,40.7127753,-74.0059728,62.79,40,1,11,9,57.1,39,84,41
24,"Henderson, NV",46.68,83,2,69,4,36.0395247,-114.9817213,44.52,75,73,26,45,54.13,66,69,29
25,"Albuquerque, NM",46.63,57,51,12,37,35.0843859,-106.650422,49.07,67,29,36,26,51.15,68,61,83
26,"St. Petersburg, FL",46.53,37,41,39,40,27.7676008,-82.64029149999999,46.55,46,48,48,42,52.76,75,14,73
27,"Austin, TX",46.36,15,57,48,81,30.267153,-97.7430608,60.09,23,9,6,10,67.16,8,4,44
28,"Phoenix, AZ",46.08,53,37,63,17,33.4483771,-112.0740373,50.56,57,18,41,24,51.94,48,75,95
29,"Reno, NV",45.91,47,17,81,27,39.5296329,-119.8138027,48.0,80,35,28,31,58.58,54,27,29
30,"Washington, DC",45.72,7,93,15,93,38.9071923,-77.0368707,65.48,17,6,9,2,61.68,5,22,92
31,"Long Beach, CA",45.04,51,77,43,12,33.7700504,-118.1937395,53.47,21,19,40,18,59.58,23,76,60
32,"Miami, FL",44.89,12,84,65,68,25.7616798,-80.1917902,53.03,45,4,42,41,55.97,35,21,99
33,"Omaha, NE",44.88,39,7,29,75,41.2565369,-95.9345034,48.22,21,35,45,48,63.5,31,44,10
34,"Colorado Springs, CO",44.87,56,12,51,42,38.8338816,-104.8213634,49.98,48,52,16,30,60.96,40,38,20
35,"Birmingham, AL",44.68,58,5,99,59,33.5185892,-86.8103567,40.26,71,74,65,74,40.78,96,92,90
36,"Pittsburgh, PA",44.43,23,42,47,84,40.44062479999999,-79.9958864,54.23,15,12,25,36,57.45,62,12,33
37,"Chesapeake, VA",44.24,86,26,7,47,36.7682088,-76.2874927,49.06,10,75,40,26,58.63,52,67,15
38,"Jacksonville, FL",44.23,40,25,30,67,30.3321838,-81.65565099999999,44.41,76,47,51,47,50.55,85,52,40
39,"Virginia Beach, VA",44.16,30,18,27,90,36.8529263,-75.97798499999999,54.57,3,43,17,20,59.71,40,58,24
40,"Columbus, OH",43.92,45,8,64,61,39.9611755,-82.99879419999999,42.77,51,41,84,60,51.14,71,73,61
41,"Irvine, CA",43.73,33,96,20,21,33.6845673,-117.8265049,61.26,1,17,9,7,71.86,8,6,3
42,"Cleveland, OH",43.71,26,23,45,83,41.49932,-81.6943605,41.95,86,23,89,56,40.81,90,99,91
