,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude,health_score,health_rank,food_rank,fitness_rank,greenspace_rank,happiness_score,hap_entertainment,income_employment,community_environment
0,"San Diego, CA",58.27,4,70,11,34,32.715738,-117.1610838,67.62,19,19,19,20,66.01,18,18,18
1,"Las Vegas, NV",58.14,10,38,21,18,36.1699412,-115.1398296,52.93,94,95,94,100,47.02,90,90,90
2,"Orlando, FL",58.13,2,50,54,28,28.5383355,-81.3792365,54.17,25,26,25,27,58.04,24,24,24
3,"Honolulu, HI",56.71,3,85,4,43,21.3069444,-157.8583333,61.76,25,25,25,26,64.21,24,24,24
4,"Tampa, FL",53.73,14,36,74,13,27.950575,-82.4571776,54.01,46,47,46,49,56.02,44,44,44
5,"Atlanta, GA",52.9,13,64,37,41,33.7489954,-84.3879824,57.71,43,44,43,46,58.46,41,41,41
6,"Cincinnati, OH",52.2,18,9,19,58,39.1031182,-84.5120196,48.61,75,76,75,80,43.5,72,71,72
7,"Scottsdale, AZ",51.96,29,52,24,3,33.4941704,-111.9260519,61.37,7,7,7,7,68.24,7,7,7
8,"Portland, OR",51.31,9,53,25,78,45.5051064,-122.6750261,65.73,27,27,27,29,57.72,26,26,26
9,"Los Angeles, CA",50.93,11,92,55,7,34.0522342,-118.2436849,60.3,39,40,39,42,58.12,38,37,38
10,"San Francisco, CA",50.25,1,99,6,49,37.7749295,-122.4194155,73.29,14,14,14,15,67.53,13,13,13
11,"Denver, CO",49.37,16,60,13,64,39.7392358,-104.990251,61.93,35,35,34,37,62.41,33,33,33
12,"St. Louis, MO",49.16,19,4,16,94,38.6270025,-90.19940419999999,50.58,73,73,72,77,42.85,70,69,70
13,"New Orleans, LA",49.14,20,66,8,53,29.95106579999999,-90.0715323,44.31,91,92,91,97,47.57,87,87,87
14,"Minneapolis, MN",48.96,22,40,2,77,44.977753,-93.2650108,60.85,2,2,2,2,64.82,2,2,2
15,"Chicago, IL",48.74,5,94,5,92,41.8781136,-87.6297982,60.05,42,42,41,44,55.2,40,40,40
16,"Seattle, WA",48.54,8,89,9,70,47.6062095,-122.3320708,69.94,14,15,14,15,61.11,14,14,14
17,"Sacramento, CA",48.49,25,72,42,9,38.5815719,-121.4943996,52.99,54,55,54,58,53.96,52,52,52
18,"Boise, ID",48.42,42,6,57,26,43.6150186,-116.2023137,53.37,34,34,34,36,61.94,33,32,33
19,"Tucson, AZ",47.46,34,27,82,16,32.2226066,-110.9747108,46.13,70,70,70,74,53.19,67,66,67
20,"El Paso, TX",47.24,87,1,28,25,31.7618778,-106.4850217,39.77,88,88,87,93,61.73,84,84,84
21,"Philadelphia, PA",47.08,17,81,34,52,39.9525839,-75.1652215,54.58,85,85,84,90,44.27,81,81,81
22,"Lincoln, NE",46.95,50,33,18,46,40.813616,-96.7025955,55.36,6,6,6,6,63.43,6,5,6
23,"New York, NY",46.84,6,100,1,55,40.7127753,-74.0059728,62.79,40,41,40,43,57.1,39,38,39
24,"Henderson, NV",46.68,83,2,69,4,36.0395247,-114.9817213,44.52,75,75,74,79,54.13,71,71,71
25,"Albuquerque, NM",46.63,57,51,12,37,35.0843859,-106.650422,49.07,67,67,67,71,51.15,64,64,64
26,"St. Petersburg, FL",46.53,37,41,39,40,27.7676008,-82.64029149999999,46.55,46,46,45,48,52.76,44,43,44
27,"Austin, TX",46.36,15,57,48,81,30.267153,-97.7430608,60.09,23,23,22,24,67.16,22,21,22
28,"Phoenix, AZ",46.08,53,37,63,17,33.4483771,-112.0740373,50.56,57,57,56,60,51.94,54,54,54
29,"Reno, NV",45.91,47,17,81,27,39.5296329,-119.8138027,48.0,80,80,79,85,58.58,76,76,76
30,"Washington, DC",45.72,7,93,15,93,38.9071923,-77.0368707,65.48,17,17,17,18,61.68,16,16,16
31,"Long Beach, CA",45.04,51,77,43,12,33.7700504,-118.1937395,53.47,21,22,21,23,59.58,20,20,20
32,"Miami, FL",44.89,12,84,65,68,25.7616798,-80.1917902,53.03,45,45,45,48,55.97,43,43,43
33,"Omaha, NE",44.88,39,7,29,75,41.2565369,-95.9345034,48.22,21,21,21,22,63.5,20,20,20
34,"Colorado Springs, CO",44.87,56,12,51,42,38.8338816,-104.8213634,49.98,48,48,48,51,60.96,46,46,46
35,"Birmingham, AL",44.68,58,5,99,59,33.5185892,-86.8103567,40.26,71,72,71,75,40.78,68,68,68
36,"Pittsburgh, PA",44.43,23,42,47,84,40.44062479999999,-79.9958864,54.23,15,15,15,16,57.45,14,14,14
37,"Chesapeake, VA",44.24,86,26,7,47,36.7682088,-76.2874927,49.06,10,10,10,10,58.63,9,9,9
38,"Jacksonville, FL",44.23,40,25,30,67,30.3321838,-81.65565099999999,44.41,76,77,76,81,50.55,73,73,73
39,"Virginia Beach, VA",44.16,30,18,27,90,36.8529263,-75.97798499999999,54.57,3,3,3,3,59.71,3,3,3
40,"Columbus, OH",43.92,45,8,64,61,39.9611755,-82.99879419999999,42.77,51,52,51,55,51.14,49,49,49
41,"Irvine, CA",43.73,33,96,20,21,33.6845673,-117.8265049,61.26,1,1,1,1,71.86,1,1,1
42,"Cleveland, OH",43.71,26,23,45,83,41.49932,-81.6943605,41.95,86,86,85,91,40.81,82,81,82
43,"Anaheim, CA",43.62,54,71,95,6,33.8365932,-117.9143012,49.61,29,29,29,31,65.02,28,27,28
44,"Glendale, AZ",43.46,52,80,62,11,33.5386523,-112.1859866,44.07,55,56,55,59,55.36,53,53,53
45,"Oklahoma City, OK",43.4,66,15,76,35,35.4675602,-97.5164276,38.86,62,62,61,66,51.59,59,59,59
46,"San Antonio, TX",43.31,28,10,70,74,29.4241219,-98.49362819999999,44.52,73,74,73,78,56.34,70,70,70
47,"Madison, WI",43.07,48,48,10,73,43.0730517,-89.4012302,54.14,8,8,8,9,71.81,8,8,8
