,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude,health_score,health_rank,food_rank,fitness_rank,greenspace_rank,happiness_score,hap_entertainment,income_employment,community_environment
0,"San Diego, CA",58.27,4,70,11,34,32.715738,-117.1610838,67.62,33,3,3,7,66.01,8,36,46
1,"Las Vegas, NV",58.14,10,38,21,18,36.1699412,-115.1398296,52.93,163,17,8,50,47.02,149,146,144
2,"Orlando, FL",58.13,2,50,54,28,28.5383355,-81.3792365,54.17,44,19,51,52,58.04,85,24,107
3,"Honolulu, HI",56.71,3,85,4,43,21.3069444,-157.8583333,61.76,43,8,57,5,64.21,55,34,17
4,"Tampa, FL",53.73,14,36,74,13,27.950575,-82.4571776,54.01,80,25,26,36,56.02,121,38,58
5,"Atlanta, GA",52.9,13,64,37,41,33.7489954,-84.3879824,57.71,75,26,6,28,58.46,64,88,100
6,"Cincinnati, OH",52.2,18,9,19,58,39.1031182,-84.5120196,48.61,130,47,62,47,43.5,165,145,162
7,"Scottsdale, AZ",51.96,29,52,24,3,33.4941704,-111.9260519,61.37,12,41,1,19,68.24,46,13,2
8,"Portland, OR",51.31,9,53,25,78,45.5051064,-122.6750261,65.73,47,6,17,4,57.72,92,27,102
9,"Los Angeles, CA",50.93,11,92,55,7,34.0522342,-118.2436849,60.3,68,4,12,38,58.12,43,104,146
10,"San Francisco, CA",50.25,1,99,6,49,37.7749295,-122.4194155,73.29,24,1,10,1,67.53,4,2,125
11,"Denver, CO",49.37,16,60,13,64,39.7392358,-104.990251,61.93,60,15,2,16,62.41,21,64,116
12,"St. Louis, MO",49.16,19,4,16,94,38.6270025,-90.1994042,50.58,126,44,42,37,42.85,162,170,160
13,"New Orleans, LA",49.14,20,66,8,53,29.9510658,-90.0715323,44.31,158,114,115,22,47.57,164,127,76
14,"Minneapolis, MN",48.96,22,40,2,77,44.977753,-93.2650108,60.85,3,22,41,9,64.82,5,26,137
15,"Chicago, IL",48.74,5,94,5,92,41.8781136,-87.6297982,60.05,72,12,19,10,55.2,60,175,114
16,"Seattle, WA",48.54,8,89,9,70,47.6062095,-122.3320708,69.94,25,5,5,2,61.11,36,1,171
17,"Sacramento, CA",48.49,25,72,42,9,38.5815719,-121.4943996,52.99,94,18,90,24,53.96,114,59,118
18,"Boise, ID",48.42,42,6,57,26,43.6150186,-116.2023137,53.37,59,68,50,13,61.94,68,19,48
19,"Tucson, AZ",47.46,34,27,82,16,32.2226066,-110.9747108,46.13,121,51,91,63,53.19,99,114,134
20,"El Paso, TX",47.24,87,1,28,25,31.7618778,-106.4850217,39.77,152,118,126,107,61.73,58,98,39
